age,location,text,r,g,b,x,y
20代,横浜,若いから、若いから、やたらといわれるけど、どうしたら子育てちゃんとしてるかみとめてくれるの？,6.978930961,-2.240626851,-0.756901571,-4.139389899,-10.61154414
20代,横浜,大きくなってきてだっこで体がいたくなってきました。,2.527938169,-5.650187825,0.028081356,-1.926087146,-8.589336865
20代,横浜,もっと健康診断（無料の）が出来れば良いな,-0.874966839,3.189123694,4.582832066,-4.821586136,3.861196433
30代,横浜,歯みがき、いつからどんな感じでやればいいの？4本でもやるべき？,0.678740991,-1.565913466,-6.701230935,-14.57758643,-2.77165046
20代,横浜,出産してから生理痛がひどくなった,3.465140815,-2.849511421,-5.787235273,-13.23921983,-6.308361496
20代,横浜,子連れでいける検診やマッサージを増やしてー！！,2.55547752,3.657790182,-2.380294017,-5.641663059,8.923825462
20代,横浜,もっと旦那に育児をしてほしい,-0.588205046,-5.901910399,2.399986677,2.405827214,15.83618889
30代,横浜,女性特有の病気の医療費補助があったらいいな。手術するかもなので、、、,-2.401210908,2.084941519,0.268622418,-5.225267875,13.56528368
30代,横浜,中腰が多いので痛みがなかなかとれない上、子どもが小さいのでメンテナンスもなかなかいけない,0.688834119,-1.754430859,-8.192729369,-17.6880367,-3.529850891
20代,横浜,産後の1ヵ月検診で骨盤矯正もやってもらいたい。,1.384390755,-1.054459405,-10.08725581,-19.96210668,-4.666640624
30代,横浜,3人目を産んでから心の病に、、、産後ケアの大切さをもっとＰＲしてほしかった、、、,1.5857349,-1.552948809,-10.55969257,-20.14980714,-4.895460747
30代,横浜,出産後から手首や膝やとにかく体のあちこちが痛む、、、マッサージとか温泉とかそろそろリラックスタイムが欲しい,0.777474344,-2.779185472,-7.725244728,-15.90974156,-3.304182294
30代,横浜,そばに相談できる人がいないこと。,-0.251910625,1.399091647,-3.02841661,-11.36338736,3.654630369
20代,横浜,パパは会社で健康診断があるのに、同じ事をやろうと思うと高くて、なかなかできません（泣）もっと手軽にできたらいいのに、、、,0.090670189,0.528874121,7.331136255,-1.233649058,-0.118778641
20代,横浜,出産してから体重増加が止まらない、、、,2.277426235,-1.517251496,-8.462867923,-17.78041694,-4.662410459
30代,横浜,私が病気、通院、入院、子どものお世話が出来ません、、、もっとサポートが欲しい,-0.408810559,-3.280648814,-4.632628826,-8.69640762,-3.641579603
40代,横浜,0才から聴けるクラシックコンサートがもっとあるとうれしい,6.859583061,4.314115973,-0.808622323,12.53453391,7.677619895
20代,横浜,産後の体型が戻らない。,1.729378155,2.429694049,-1.450741574,-14.31929275,2.360329228
20代,横浜,もっと子どもが安心してあそべるスペース（0サイ児も）を増やしてほしい,4.609177622,-0.896717807,5.322194175,2.5820016,1.544347654
30代,横浜,イヤイヤと自分でやる！がひどくて困っている。,-0.798418009,-1.565367127,-5.111210689,-9.397606306,-1.59192416
20代,横浜,赤ちゃん専用車両作ってほしい。,-8.140074329,-3.752425733,6.270789364,9.807502424,-6.464632131
20代,横浜,子どもの遊び場がなかなか無く、おなじ年代のママも子もいない,6.325845217,-6.103411374,2.669675953,-4.780888895,-5.090903165
20代,横浜,オムツ替えコーナーなどもっと多く設置してほしー！！,-5.267039176,-4.044477276,1.98029343,2.59493265,-10.79863566
20代,横浜,子どもが無料であそべる施設がほしい,1.355366633,-5.648129677,0.961451801,2.608037128,13.2160168
20代,横浜,関内駅にエスカレーターｏｒエレベーター設置してください！,-10.67676233,-0.664171229,-2.88118805,14.93811925,-18.24961605
20代,横浜,出産する病院が少ない,1.963471883,-1.444334905,-7.425700944,-16.67481672,-3.904289577
20代,横浜,ママ友との楽しめる場がほしい。ベビーカーでも行動しやすく！,5.581771132,-4.705846486,-0.790992775,-3.465308404,-13.33803152
30代,横浜,駅やデパート等、エレベーターをゆずってほしい（ベビーカー使用時）,-12.5354005,-1.935854089,-1.614152295,12.46691903,-17.43650295
20代,横浜,保育園に入れず希望してない幼稚園に通ってます。大変です、、、,8.543355106,5.782478612,6.061002963,16.82326396,-0.278417667
30代,横浜,もう少し保育園や子どもの遊び場をふやして下さい,0.440542515,-0.789929585,1.531945526,6.292782369,13.13396617
20代,横浜,子供と気が合う友達がいない,-7.045492596,-4.178271774,0.443078531,2.516443984,-15.08977156
30代,横浜,もっと近くに支援センターあったらいいのにな,5.908322676,-8.620934868,-3.278013775,-9.582322374,-16.4372581
30代,横浜,ＪＲの菊名や中山駅、、、昔ながらの駅がベビーカーにはとても不便。せめて案内表示（エレベーター）をもっとわかりやすく、地域で子育て便利マップなどがあるとうれしい。,-8.625884318,-2.320297,-3.043671721,11.27397149,-20.14297078
30代,横浜,青葉区（横浜市）に児童館をふやしてほしい,3.330595829,7.450427946,1.277128233,16.0218547,9.983404828
20代,横浜,横浜市営地下鉄の横浜駅はベビーカーだととても不便で、エレベーターの位置をもっともっと分かりやすくしてほしい,-10.38208875,-1.847105523,-6.204397437,14.47190987,-22.44533102
30代,横浜,保育園をもっと増やして入りやすくしてほしいです,9.475828992,1.713220316,2.575537732,8.890852284,2.10657509
20代,横浜,家の近くに赤ちゃんと遊べる場所がたくさんほしい。,6.118052058,-6.515228235,-0.537863862,-5.934132214,-14.95753773
30代,横浜,希望する保育園に希望した日から入れるようになってほしい。,12.41487615,7.690430585,-7.584667093,17.76712062,4.245291421
30代,横浜,・ＪＲ保土と谷ｓｔに子供が遊べるフリースペースが欲しいです。・ＪＲ保土ヶ谷st周辺に産婦人科の病院を作って！,-2.022738861,0.154316817,7.814979757,-0.369995755,-2.217236922
20代,横浜,もっと駅にエスカレーター、エレベーターをつけてほしい。,-9.380071999,0.11169718,2.918377186,12.19289544,-12.25584851
30代,横浜,「おばあちゃんの知恵袋」的なことを教えてくれる場が欲しいなあ。,3.15610237,-6.807046884,-1.250585687,-6.813303828,-12.25758788
20代,横浜,子供が3人いるので、もっと手当をあつくして欲しい。早急に！！,2.237353014,1.762909555,-6.567731573,-16.6844525,1.972031005
20代,横浜,保育園をもっとふやして入りやすくしてほしいです,8.159717965,0.305673266,2.4455294,9.173399611,1.16544276
30代,横浜,駅のエスカレーター下りも増やしてＥＶも！,-10.68656192,0.664799212,-0.032704199,13.93126678,-15.15724008
20代,横浜,もっとたくさんのママと交流できる場を作ってほしい,6.011688793,-9.933494706,-3.838988836,-10.31733906,-17.74001012
20代,横浜,ママ友がまわりに全然いないのでほしい！,4.544559085,-5.255038195,-4.420875623,-11.6182838,-9.883948547
20代,横浜,コンビニに離乳食をおいてほしい,5.452457759,-0.315511337,4.555567278,4.26538175,2.848297552
,横浜,もっとおむつ替えコーナーを増やしてほしい,-8.393559671,-2.381044862,3.716207417,6.943258998,-12.66765037
20代,横浜,いっぱい保育園できてるけど、、、保育の質はどうなの？？子育てを自分でしたいけど、他人から保育園入れて働かないの？と言われると働かないとダメな時代なの？と。自分で子育てする事にも価値があると思う！,4.715801786,-0.389445424,4.004235957,4.496783617,3.379096322
20代,横浜,小さい子が遊べる公園をもっとつくってほしい！！,4.010642237,-3.922518213,-4.728565777,-11.89195458,-8.177754002
20代,横浜,駅のエレベーターをふやしてほしい！保育園を増やしてほしい。あずけやすくしてほしい。ママや子供とこうりゅうできる集まりとかをしてほしい。,-8.005732595,-4.229647659,0.862181853,3.193219643,-15.25908952
20代,横浜,まだエレベーターがついてないえきがあるので、すべてのえきにエレベーターをつけてほしいです！！,-11.14276225,0.479719864,-0.644768381,14.19033202,-15.06426407
30代,横浜,公共トイレに子供と入れる所を沢山作ってほしい！,-3.329991089,0.273158938,6.388401682,1.499443727,-3.460658116
,横浜,保育園に入れない。ふやしてほしい,8.633914083,0.587008775,2.581635111,8.526386412,2.035574869
40代,横浜,子連れＯＫのおしゃれなカフェを増やしてほしい！！,-5.68646373,-3.307260511,0.359225295,2.044744467,-13.61799739
30代,横浜,ＰＴＡがめんどくさい！！,-0.906754053,4.909528686,-1.506912362,-8.301995428,10.66889852
20代,横浜,ママ友がもっとほしい,6.209248148,-7.394257099,-2.079378133,-7.937483754,-14.23427337
30代,横浜,働きたくても保育所に入れない。子供の医療費の助成がない（よこはま）,-1.697785487,6.150391125,2.495782205,-8.272976608,6.43413004
20代,横浜,ベビーカーで外出した時にエレベーターをさがして遠まわりな事が多い！便利な場所にエレベーターを設置してほしい。,-11.10934771,-2.811969336,-4.558569673,16.16926268,-21.04418366
10代,横浜,保育園の保育時間を延ばして欲しい,2.887299592,1.62610861,1.299420496,9.75254957,11.48349377
30代,横浜,ベビーカーでのバス移動、電車移動がまだまだ不便。ＥＶの場所をもっと分かりやすくしたり増やしてほしい。,-9.030808234,-1.839839852,-3.144266625,11.56944878,-20.11392148
20代,横浜,ベビーカーの時エレベーターにスムーズにのりたい。,-10.52802855,-0.017534152,-0.452625796,13.97165546,-14.8579071
20代,横浜,認可保育園が少ない。他の所だと高い！,8.52828443,5.78033213,6.064457411,16.83130628,-0.278492131
30代,横浜,もっともっとみんなで集まれるイベントがあればイイのに,5.866394967,-7.062527262,-1.956862887,-7.942790733,-14.23957794
20代,横浜,ママ友が近くにいないので、もっと集まる場を増やしてほしい。,5.354597984,-9.631727183,-3.952498324,-10.31976545,-17.74399535
40代,横浜,保育園が少ない。,9.749455846,0.821748832,1.851971739,8.312187717,1.652111909
20代,横浜,キレイな公園を増やしてほしい！！,6.217264099,-7.249401767,-2.217751647,-7.947180622,-14.24139652
40代,横浜,子どもがいても気にしないでママともと子そだての話もっといろいろできたらいいな。,5.076553283,-5.117022122,3.349944497,-3.318627438,-4.95137765
40代,横浜,エレベーターを増やしてほしい。段差をなくしてほしい。道が広くなるといい（歩道）,-10.72565404,0.316609221,0.004787491,14.15909395,-15.1194331
30代,横浜,保育園の預ける時間の延長をしてほしい！もっと充実させて下さい。,3.123008754,2.854537447,2.109210719,10.97584934,11.54656889
20代,横浜,病院の待ち時間が長い。小さい子どもを長時間待たせるのはかわいそう,0.950361786,-2.632701255,-7.707184288,-16.02989734,-3.422730308
40代,横浜,ベビーカーがガタガタする歩道、たくさんありますね。無駄な車道のほそう予算をまわして下さい。,10.16176833,3.935767628,7.13386571,15.11688331,-3.222005575
20代,横浜,仕事復帰したい時期に保育園に入れない。,1.553028947,0.49263795,1.583836965,7.772149704,12.26840754
40代,横浜,歩きタバコは注意してほしい,-1.748674865,0.389469431,6.774922152,0.287302044,-1.978717047
30代,横浜,小さい子どもが安全安心してあそべる場所を増やして欲しいデス！,6.203362259,-7.01828134,1.367634002,-4.77291387,-6.276359542
20代,横浜,消費税上げる前にお給料上げて下さい。もっとけずれるとこさがして下さい。天下りとかやめて。,-2.508380182,10.59748115,-9.606773219,-19.73061059,16.04585306
20代,横浜,子づれで行けるお店をふやしてほしい,-7.717486989,-2.487314043,3.046581576,6.670695981,-12.68560322
30代,横浜,電車内のベビーカーに嫌な顔をしないで。,-11.36305563,-0.40012422,-2.45832527,14.92916018,-18.21746374
